n,Linear search,Insertion sort,Binary search
1000,3572,15177,245
2000,1397,67699,73
3000,1856,26140,68
4000,2802,45117,63
5000,1011,69881,57
6000,1042,103747,75
7000,1232,138977,96
8000,1366,188774,54
9000,1577,220629,55
10000,1686,298212,64
11000,1944,354702,57
12000,2296,378337,58
13000,2419,538241,62
14000,2764,517226,61
15000,2762,627092,64
16000,2583,706389,64
17000,3008,938202,64
18000,3144,981740,66
19000,2983,1184876,69
20000,3300,1331105,61
21000,3501,1238939,80
22000,3832,1521758,90
23000,3956,1459861,66
24000,4294,1727597,73
25000,4402,1923527,71
26000,4884,2063176,71
27000,4852,2084987,72
28000,4805,2822791,92
29000,5203,2326665,73
30000,5449,2549183,74
31000,6210,2680502,79
32000,5788,3235253,79
33000,5497,2965326,70
34000,6440,3568444,73
35000,6511,3753550,72
36000,5953,3916829,79
37000,6656,3958180,75
38000,5972,4469158,73
39000,7009,4179107,77
40000,7860,4498791,75
41000,7045,4650436,79
42000,7327,4701388,76
43000,7476,5249872,74
44000,8057,5687985,81
45000,7995,6025971,78
46000,7571,6146436,83
47000,9330,6131310,83
48000,8987,6825691,78
49000,9321,7173850,78
50000,9837,7592081,76
